object_id,object_guid,task_id,task_guid,wbs_code,task_name,role,ifc_relation
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_subbase,0f3W6sURTVEen7o62Sslid,PK.40.10.A,쇄석 포장기층 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
plaza_A,2RuwrdotDPRO4wT4PooqPW,A_pavecheck,1tCdFKdqzKCBAYvGGCw_gZ,PK.40.20.A,포장 기층 검사 / A구역,INPUT,IfcRelAssignsToProcess
walkway_A,3q3q0DWtjTh8ZN5wMJC4TJ,A_pavecheck,1tCdFKdqzKCBAYvGGCw_gZ,PK.40.20.A,포장 기층 검사 / A구역,INPUT,IfcRelAssignsToProcess
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_pavecheck,1tCdFKdqzKCBAYvGGCw_gZ,PK.40.20.A,포장 기층 검사 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
plaza_A,2RuwrdotDPRO4wT4PooqPW,A_finish,3l7YMsKq9LKQ4fikZrT1Lj,PK.40.30.A,모래·콘크리트블록 포장 / A구역,OUTPUT,IfcRelAssignsToProduct
walkway_A,3q3q0DWtjTh8ZN5wMJC4TJ,A_finish,3l7YMsKq9LKQ4fikZrT1Lj,PK.40.30.A,모래·콘크리트블록 포장 / A구역,OUTPUT,IfcRelAssignsToProduct
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_finish,3l7YMsKq9LKQ4fikZrT1Lj,PK.40.30.A,모래·콘크리트블록 포장 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
P2_R02-001,0NOcLDmK1RyxPPku_YxLvo,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-002,2pUS92w95TcRN8FxZC6Yof,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-003,2S35Jn_yHKlfgu77aNwLSO,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-004,389TMcoWHIEBW0hGct0HR1,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-005,1lJgl9NtDH$9x6IJ6ddIjm,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-006,3Cc4KmW_XVrPrfzYR1K5G4,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-007,0rzb2RswjPQeFd7CYSFE8f,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-008,3l3AV1eEzHeuBHUFaFYcdc,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-009,1VOQ1x1_9JoPUFPRbU8s53,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-010,3Uj3o9yqzNPeYVitmK5Vfd,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-011,2e0VzmrqHUvvc7SFUf0epD,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-012,3_9O9H6q9PPgqYf5wFk2v_,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-013,3mKluvyzHGxOUE$H1Cpzgk,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-014,1vzNIh6RvSUgetsWoedXlG,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-015,1JXzoiQubQox9fxIN3wiXz,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-016,2$_yfp4JzNGPUVHrfXtTmE,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-017,20A6phFRHS1xAG_Blm5BKx,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-018,1ewi3oDerSCQlcciN_MjN8,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-019,3pH_owQJzU9OnhVDeJowdf,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-020,3jr$ki6TTNPfLiWWseG7UI,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-021,1I7iduzYTSOPl8fx_RCCb8,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-022,1T87eT6F1I_x6ntrAvvkJW,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-023,1GEAIBrLTLSBDG949FaBgK,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-024,3L66KKSsjGTOIx$9D080Qj,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-025,1rSoEKOrrLjuNJASoUyFow,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-026,0BzQ9BbffTyBTLA9XolhG9,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-027,2a4oM_B1jVRvQEICrE13ac,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-028,2MZHCh7srU$90y796R7mKN,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-029,03LXHLDYrLZgRBgt0B5ug8,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-030,1zL4l49J9PqRnIo1mhZOOI,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-031,0OqzYadAPSUAYA3yEYUJ1M,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-032,3wMGywESHNDOQ1KiHQj481,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-033,3Of1Dvci5RLQ9IA5Gub4d3,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-034,1_3C2MWYLMn9MPKc_h9ZV9,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-035,1FXdfD74LKYB5fvlt5e0TW,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-036,1TK0P9WcnSbwTGrPPbGgaT,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R02-037,3HrU74XFTHphBe9TQaaRrP,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-008,0_ERlnnBfTDugZu$_L5QH$,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-009,1xDoz_yXjL7fGebA$X1Mq6,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-010,3vTIejixPK0QGzLwgJA9jH,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-011,1Gqbl1DU1HBxjzgQFLCsVo,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-012,3_4rXW_WvMhA6vZbL76WHI,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-025,3nom9bvF1VNQKxr_QQYPI1,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-026,0Cg5b1nUfVRQcKkVIzzAPx,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-027,25WLYHTdTNyxkcAqy$fbD4,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-028,2PLxBply9KcOtdO1hX5oet,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-029,3tYXHHz8zRdxBX6lxUJXtn,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-030,0XlZJjA8PSgOza8AGPadFA,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-031,25Y8LQHT1UnwKrO$MjbEhf,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-032,2fqQlDxPXLX8$nGBlQy0FG,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-033,2ApB9owwvJe8iIfnbf6XiL,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-034,0uWUEIc3bQbRZQLXAv0BCt,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-035,0gE7XTeg9UCxRk_sNFRYtD,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-036,3sY0mVJSPGgO69v7FzOThX,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-050,1GQy9jbA5Hfvw84RizJSvr,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-051,3McPgNNGTLWwMKmiojwCAc,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-052,1NhboNSMHNZREObV6p7jEI,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-053,3Gome6L9HKgAgo9v5vrpIS,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-054,1_w6_PJnjG$v9AnZsg1v45,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-055,0_YUKAHXXNZgGusAaO1og0,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-056,2fEXNEBs5O5eq2DqlXkZ3O,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-057,1fLVLTL9TNkQ6fPpeq3rJG,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-058,37lmDcfN9KxxN6PMVtAwnL,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-059,21WcP9kBDGUAiX4XY72gQW,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-060,1tDUGA34jOxQ2ipe9qgJzg,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-072,1Xw_sB2F9Ox8swOnwvswjy,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-073,1V3l36eAbHpAONorOuojvD,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-074,0E8DIS$OHUpuGgKYjL2wn3,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-075,0dniKJ6ZfK$BtSWr73Ikh8,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_R03-076,37i7SM67DHZOHxfS8VJftR,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-005,20Ge7Cs45Ri8Awst2jO2k4,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-006,1zRHdBPA5SRx9sM50AKOSb,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-007,0AC98q_yjOThIyGA7TzIYB,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-008,39iEr0cZ1Vbg8aSsv5LOfu,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-009,35Ckl215zN2gr9Q0oLxY8w,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-010,2yQb1ROo5HtPZN_oqN$W0J,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-011,0yZieefDDHR8s2HdaxaVJ5,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-012,3MOWxa2snIRQu4mW7px2fp,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-013,0BKp8d_$jQJ9P4PUJrQ$62,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-014,1ctuk0YKDMXQK0YicJqST$,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-026,2g2fIIdDvIIPBQN8huBwlx,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-027,2ZLwja9kXJ9OPL9DCsiTr6,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-028,2gHpCQmZ1M5OPsaz73qpyJ,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-029,2Y5RAR_DPNRgQ_v22ZQuNp,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-030,30OZHPOu9Giup5ajdLOBsf,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-031,1XzgWvbV5TzOObVbwlpUrh,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-032,2FBB4m$9nJBvlCXxm4sySD,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-033,29aUJ7y1nMchP7IO1V5jf$,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-034,3XSfoBALrT4ugeTvZazjQs,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-035,3ucbViVAXLghcv33Tl7Kx9,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-036,3fq$_8HhLH5gTGYoGdxQHN,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-037,1ea8QHOZnJVhF8Z01T93b4,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-038,2Oj$5MA45NkBgk6KEW8t7Z,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-039,3MxcK6OsbLI9TlFeZWYt5N,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-040,1vwClNQWDKwRTMX71HIP_d,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-041,285s2VJPjTd9j$N_$gof1K,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-052,1ihe_82mrR0Pmv7mZP3fyI,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-053,1AD7sux2DVdvjrWZoDhqmb,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-054,2LjMcTjcHHrxanBgHGQEe7,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-055,28thloXMPVieSCkV8HfOvl,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-056,3W6OT$g5nUeAsFOVkQuije,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-057,3vSX2UZTHLiu_iNKvHRpzj,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-058,1LTcUdegLGz9BbGcEyUnxN,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-059,2u3hpRnx5Vh9ar1ZtXX7H9,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-060,26zSsWTCrG_AWexUwirCjK,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-061,3o4G9qZnLMl8fJIUV$Pky_,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-062,3ZoedHQUjTL9ODlH4vErdE,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-063,1Y3sRN2RPTiQUaI1sixYQ2,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
P2_S02-064,0KgiBE7hzL7Ook8$6XkNLb,A_shrubs,3z0rsh1xfHIhyJPLV9W5WU,PK.50.40.A,관목 식재 / A구역,OUTPUT,IfcRelAssignsToProduct
