object_id,ifc_guid,kind,category,name,specification,quantity,unit,zone,inventory_role,primary_wbs,wbs_codes,task_ids,task_count,library_global_id,quantity_note
plaza_D,3xEp6uVh9G9RMOhLExLruZ,plaza,휴게공간 블록포장,휴게공간 블록포장,200×200mm,72.0,m2,D,NEW,PK.40.30.D,"[""PK.40.10.D"", ""PK.40.20.D"", ""PK.40.30.D"", ""PK.70.10.D""]","[""D_check"", ""D_finish"", ""D_pavecheck"", ""D_subbase""]",4,,
lawn_A,2TMfXTxhXNLvV7tqJ$0KgI,lawn,잔디,잔디,평떼 300×300mm / 전면 붙임,286.0040716133794,m2,A,NEW,PK.50.50.A,"[""PK.50.20.A"", ""PK.50.50.A"", ""PK.70.10.A""]","[""A_check"", ""A_soil"", ""A_turf""]",3,,
lawn_B,3DQ93yPh9H9gS6aKs3R_3F,lawn,잔디,잔디,평떼 300×300mm / 전면 붙임,275.21423617506696,m2,B,NEW,PK.50.50.B,"[""PK.50.20.B"", ""PK.50.50.B"", ""PK.70.10.B""]","[""B_check"", ""B_soil"", ""B_turf""]",3,,
lawn_C,1p635B579Ue8dBXvP_ghrm,lawn,잔디,잔디,평떼 300×300mm / 전면 붙임,266.1614251909143,m2,C,NEW,PK.50.50.C,"[""PK.50.20.C"", ""PK.50.50.C"", ""PK.70.10.C""]","[""C_check"", ""C_soil"", ""C_turf""]",3,,
lawn_D,30SBC5WpHJ3vOz9iiaguLl,lawn,잔디,잔디,평떼 300×300mm / 전면 붙임,274.6088946778756,m2,D,NEW,PK.50.50.D,"[""PK.50.20.D"", ""PK.50.50.D"", ""PK.70.10.D""]","[""D_check"", ""D_soil"", ""D_turf""]",3,,
shrub_A,2mofXfJPLR3A3TC$sO0JuJ,shrub,관목 식재지,관목 식재지,,117.63869428289229,m2,A,SURFACE_GROUP,PK.50.20.A,"[""PK.50.20.A"", ""PK.70.10.A""]","[""A_check"", ""A_soil""]",2,,군락 면적; 관목 개체 수와 중복 합산하지 않음
shrub_B,1TDXd0_SnQ5RCqmS8RbvCO,shrub,관목 식재지,관목 식재지,,156.69991266934056,m2,B,SURFACE_GROUP,PK.50.20.B,"[""PK.50.20.B"", ""PK.70.10.B""]","[""B_check"", ""B_soil""]",2,,군락 면적; 관목 개체 수와 중복 합산하지 않음
shrub_C,0u6PcUk4bRlxGZvc3a_Wfe,shrub,관목 식재지,관목 식재지,,123.83245775722149,m2,C,SURFACE_GROUP,PK.50.20.C,"[""PK.50.20.C"", ""PK.70.10.C""]","[""C_check"", ""C_soil""]",2,,군락 면적; 관목 개체 수와 중복 합산하지 않음
shrub_D,25sRKXEljG6gNF8O0rabTH,shrub,관목 식재지,관목 식재지,,75.25637121839611,m2,D,SURFACE_GROUP,PK.50.20.D,"[""PK.50.20.D"", ""PK.70.10.D""]","[""D_check"", ""D_soil""]",2,,군락 면적; 관목 개체 수와 중복 합산하지 않음
green_A,3Rtnkwg4bP8Rx7PpzPFj5M,green,수목 하부 멀칭,수목 하부 멀칭,,7.057234103728361,m2,A,SURFACE_GROUP,PK.50.60.A,"[""PK.50.20.A"", ""PK.50.60.A"", ""PK.70.10.A""]","[""A_check"", ""A_mulch"", ""A_soil""]",3,,신규 교목 하부 멀칭 면적
green_B,3K6pWDCm1KuRkDLYGXyhSh,green,수목 하부 멀칭,수목 하부 멀칭,,10.58585115559255,m2,B,SURFACE_GROUP,PK.50.60.B,"[""PK.50.20.B"", ""PK.50.60.B"", ""PK.70.10.B""]","[""B_check"", ""B_mulch"", ""B_soil""]",3,,신규 교목 하부 멀칭 면적
green_C,0xSKiI1HfMM9XaOKMx74R6,green,수목 하부 멀칭,수목 하부 멀칭,,3.5286170518641815,m2,C,SURFACE_GROUP,PK.50.60.C,"[""PK.50.20.C"", ""PK.50.60.C"", ""PK.70.10.C""]","[""C_check"", ""C_mulch"", ""C_soil""]",3,,신규 교목 하부 멀칭 면적
green_D,22geK9FJnQrBvkSa8mSioj,green,수목 하부 멀칭,수목 하부 멀칭,,7.057234103728364,m2,D,SURFACE_GROUP,PK.50.60.D,"[""PK.50.20.D"", ""PK.50.60.D"", ""PK.70.10.D""]","[""D_check"", ""D_mulch"", ""D_soil""]",3,,신규 교목 하부 멀칭 면적
P2_N01,32o20Yq$fIu8Fbxd4ku08H,new_tree,신규 교목,느티나무,H4.0 X R12,1,ea,C,NEW,PK.50.30.C,"[""PK.50.30.C"", ""PK.70.10.C""]","[""C_check"", ""C_trees""]",2,3XjF$En_P4Ex4Uq8Mx9BRN,
P2_N02,32fq$v0WDOxPZsBdaKmGKv,new_tree,신규 교목,느티나무,H4.0 X R12,1,ea,A,NEW,PK.50.30.A,"[""PK.50.30.A"", ""PK.70.10.A""]","[""A_check"", ""A_trees""]",2,3XjF$En_P4Ex4Uq8Mx9BRN,
P2_N03,1KzHpDp8TOfg3ND1kZypKE,new_tree,신규 교목,느티나무,H4.0 X R12,1,ea,B,NEW,PK.50.30.B,"[""PK.50.30.B"", ""PK.70.10.B""]","[""B_check"", ""B_trees""]",2,3XjF$En_P4Ex4Uq8Mx9BRN,
P2_I01,02y87a1DbR9Q4AvdxI7PYf,new_tree,신규 교목,이팝나무,H4.0 X R15,1,ea,C,NEW,PK.50.30.C,"[""PK.50.30.C"", ""PK.70.10.C""]","[""C_check"", ""C_trees""]",2,3XjF$En_P4Ex4Uq8MxAr47,
P2_I02,2wA21KkBrHfA02Gl2eiITH,new_tree,신규 교목,이팝나무,H4.0 X R15,1,ea,D,NEW,PK.50.30.D,"[""PK.50.30.D"", ""PK.70.10.D""]","[""D_check"", ""D_trees""]",2,3XjF$En_P4Ex4Uq8MxAr47,
P2_I03,3Ebh5eESjRseZM_OJbax7z,new_tree,신규 교목,이팝나무,H4.0 X R15,1,ea,D,NEW,PK.50.30.D,"[""PK.50.30.D"", ""PK.70.10.D""]","[""D_check"", ""D_trees""]",2,3XjF$En_P4Ex4Uq8MxAr47,
P2_I04,3VXnKSS4HHDg0dcHjSWwyv,new_tree,신규 교목,이팝나무,H4.0 X R15,1,ea,A,NEW,PK.50.30.A,"[""PK.50.30.A"", ""PK.70.10.A""]","[""A_check"", ""A_trees""]",2,3XjF$En_P4Ex4Uq8MxAr47,
P2_I05,3QMDNvBXzIjQKTQOQ$O8i$,new_tree,신규 교목,이팝나무,H4.0 X R15,1,ea,B,NEW,PK.50.30.B,"[""PK.50.30.B"", ""PK.70.10.B""]","[""B_check"", ""B_trees""]",2,3XjF$En_P4Ex4Uq8MxAr47,
P2_I06,00Qd1HSYfKH8QiDyHu9eeZ,new_tree,신규 교목,이팝나무,H4.0 X R15,1,ea,D,NEW,PK.50.30.D,"[""PK.50.30.D"", ""PK.70.10.D""]","[""D_check"", ""D_trees""]",2,3XjF$En_P4Ex4Uq8MxAr47,
P2_I07,3gv7DXWyvUxOSt8FJ_jBfG,new_tree,신규 교목,이팝나무,H4.0 X R15,1,ea,A,NEW,PK.50.30.A,"[""PK.50.30.A"", ""PK.70.10.A""]","[""A_check"", ""A_trees""]",2,3XjF$En_P4Ex4Uq8MxAr47,
P2_D01,0ZenG1k7vSWeZohT8fL$kw,new_tree,신규 교목,산딸나무,H3.0 X R8,1,ea,B,NEW,PK.50.30.B,"[""PK.50.30.B"", ""PK.70.10.B""]","[""B_check"", ""B_trees""]",2,3XjF$En_P4Ex4Uq8MxApEZ,
P2_D02,02lVwwMzvLIBNFnth4sQVM,new_tree,신규 교목,산딸나무,H3.0 X R8,1,ea,A,NEW,PK.50.30.A,"[""PK.50.30.A"", ""PK.70.10.A""]","[""A_check"", ""A_trees""]",2,3XjF$En_P4Ex4Uq8MxApEZ,
P2_D03,0GtydUzubMWxeS8$uNA2RA,new_tree,신규 교목,산딸나무,H3.0 X R8,1,ea,D,NEW,PK.50.30.D,"[""PK.50.30.D"", ""PK.70.10.D""]","[""D_check"", ""D_trees""]",2,3XjF$En_P4Ex4Uq8MxApEZ,
P2_T01,2gSA55vanH8ODXPrevY6hS,new_tree,신규 교목,주목,H3.0 X W1.5,1,ea,B,NEW,PK.50.30.B,"[""PK.50.30.B"", ""PK.70.10.B""]","[""B_check"", ""B_trees""]",2,3XjF$En_P4Ex4Uq8MxAfrz,
P2_T02,1r03ubKVPIAPU_R$4tVrbd,new_tree,신규 교목,주목,H3.0 X W1.5,1,ea,B,NEW,PK.50.30.B,"[""PK.50.30.B"", ""PK.70.10.B""]","[""B_check"", ""B_trees""]",2,3XjF$En_P4Ex4Uq8MxAfrz,
P2_T03,1qbKJG7tzOvwuITtIff3ER,new_tree,신규 교목,주목,H3.0 X W1.5,1,ea,B,NEW,PK.50.30.B,"[""PK.50.30.B"", ""PK.70.10.B""]","[""B_check"", ""B_trees""]",2,3XjF$En_P4Ex4Uq8MxAfrz,
P2_B01-001,1NYMvE5ILU8gm3vg1UN72i,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-002,2LwZ4BzNLO0uQXO2SvekPT,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-003,3WCKa4RnfVFfXRKywJupFW,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-004,2WiDxLF75RYf7RQD27Q_as,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-005,1xs6ajYEXPFeIg1_R5aygJ,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-006,340wse$TTH9AA9DZxMuI98,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-007,3mrjTI8CPMGxBGH_NLbL0F,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-008,2QLpM_5mfVJQC6Ep6qgwCJ,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-009,0VWPR_oJXJqBlm5lZM$l$r,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-010,1j2eaynWnTChuPM5RnTK$J,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-011,3VZy8Q56HVUBT9v6iTwVAj,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-012,0zCWKuk4bSrQT_gUll3iSr,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-013,1Qu9Y4VPvI8QSVeQDFsgcW,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-014,1BCiDsgbHVJeeGjnV4c8tP,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-015,0E7lEDYSbNrALcsBqA4E4Q,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-016,0nj58s_i1VCOsmu5EFP1GQ,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-017,2sAv2f0y9SNQRX0STlhr$g,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-018,3NYLaHKibRuhozMjiyNc58,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-019,0VHIruTYTTTxcKg5YohOje,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-020,1mUY36l6HO_A0BN7rbpJ_W,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-021,2i38I4xgLMzBZMhqsSI5Ud,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-022,2AFZAlqPTSKBbsoubLeaj5,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-023,3mXTX8Q6HLLfasVSVQm1Kk,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-024,1HYU0LPCvI$vrqgpBtC7d_,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-025,3bJQJiDiDM7QmRG1qt5QLd,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-026,3ImQMWszbPDOUTISM$$NMl,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-027,0KWlfDxTfQohaUOQcnc73$,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-028,28dm_xvPPOzAlk35iXVLnL,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-029,38QFzX11nJRAZYpAxZki0q,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-030,1psr1n6AXTiepbYNL3e05d,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-031,00HqyoMsLO0gSOtdVEIt8J,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-032,1qwa6N2e5R8fBY_bCZt5MK,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-033,1DpgIZilbP7804Y1KC9tlw,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-034,3Ojce$eBTM98jRog6caZa_,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-035,0W3nzHvNzVMxUfOTv3jcUl,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-036,1iqKe5o$fVUP3gLrtpa5I5,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-037,1_gmCT1IzGJRTxf7rG3$m8,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-038,0960wVj6fL8fYtFZnmzpHF,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-039,3nfutFqbPGFweYz3W7udJH,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-040,2BoJNLrmjKg9oJW4gL1lRA,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-041,10Jm2hIXTGWuB3qbvsGNGk,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-042,0$3AhVBZHUewoEhD$NPcAL,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-043,0DI6heqBrGh9_oLpNkOARz,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-044,2iDAeYw8fHtPPd42iwXBeY,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-045,1KRxNkiAnMKxaWzZZI5ZzT,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-046,0Kzx8xtGzLruAOt4ybAhIS,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
P2_B01-047,0J494PjOXS1gRM5AbExuVA,shrub_plant,관목,회양목,H0.4 X W0.5,1,ea,C,NEW,PK.50.40.C,"[""PK.50.40.C"", ""PK.70.10.C""]","[""C_check"", ""C_shrubs""]",2,3XjF$En_P4Ex4Uq8MxAXJ3,
