wbs_code,wbs_name,task_id,task_guid,parent_wbs_code,ifc_predefined_type,zone_id,work_zones,quantity,unit,productivity,required_resource_bundle,norm_work_hours,planned_net_work_hours,planned_8h_crew_days,setup_hours,travel_allowance_hours,norm_status,norm_references,norm_breakdown,equipment_requirement,included_work,predecessors,predecessor_lags,input_object_ids,output_object_ids,scope_object_ids,legacy_priority_code,kcs_primary,kcs_title,kcs_edition,kcs_revision_date,kcs_clauses,kcs_related,kcs_note,kcs_status,kcs_url
PK.20.50.B,되메우기·다짐 / B구역,B_backfill,13T0myAS9R8wqFPwu8ct82,PK.20.50,CONSTRUCTION,B,"[""B""]",6.093681493397524,m3,6,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,1.0156135822329206,0.12695169777911508,0.2,0.15,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_draincheck""]","{""SITE_draincheck"": 0}","[""ZONE_B""]",[],"[""ZONE_B""]",24,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.3.3 흙쌓기; 3.6.3 다짐도 검사,"[""KCS 34 50 65""]",관로 검사 후 되메우기·다짐. 매설 완료 후 접속부 확인·승인도 필요하다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.20.50.C,되메우기·다짐 / C구역,C_backfill,1r0fUENpbL7O6nViXdNDBw,PK.20.50,CONSTRUCTION,C,"[""C""]",2.8943606533614172,m3,6,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,0.4823934422269029,0.06029918027836286,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_draincheck""]","{""SITE_draincheck"": 0}","[""ZONE_C""]",[],"[""ZONE_C""]",24,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.3.3 흙쌓기; 3.6.3 다짐도 검사,"[""KCS 34 50 65""]",관로 검사 후 되메우기·다짐. 매설 완료 후 접속부 확인·승인도 필요하다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.20.50.D,되메우기·다짐 / D구역,D_backfill,2RyHpbymTUXgigqCmoLPK4,PK.20.50,CONSTRUCTION,D,"[""D""]",8.58204214675894,m3,6,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,1.4303403577931568,0.1787925447241446,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_draincheck""]","{""SITE_draincheck"": 0}","[""ZONE_D""]",[],"[""ZONE_D""]",24,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.3.3 흙쌓기; 3.6.3 다짐도 검사,"[""KCS 34 50 65""]",관로 검사 후 되메우기·다짐. 매설 완료 후 접속부 확인·승인도 필요하다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.30.10.A,휴게시설 기초 / A구역,A_foundation,1BmVQr1c5M_gfXjzhM7L$0,PK.30.10,CONSTRUCTION,A,"[""A""]",0.4610726281102533,m3,1.5,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,0.3073817520735022,0.03842271900918778,0.2,0.15,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""A_backfill""]","{""A_backfill"": 0}","[""BENCH03"", ""BENCH04"", ""BENCH05""]",[],"[""ZONE_A""]",30,KCS 34 50 05,조경시설물공통,2024,2024-12-10,3.2.1 토공; 3.2.2 기초; 3.2.5 콘크리트 공사,"[""KCS 34 50 20""]",벤치·퍼걸러 기초. 콘크리트 강도·양생·앵커 상세는 미확정이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2005%3A2024-12-10
PK.30.10.C,휴게시설 기초 / C구역,C_foundation,3MzvogOPfP49hPGElBmD2e,PK.30.10,CONSTRUCTION,C,"[""C""]",0.15369087603675097,m3,1.5,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,0.10246058402450064,0.01280757300306258,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""C_backfill""]","{""C_backfill"": 0}","[""BENCH06""]",[],"[""ZONE_C""]",30,KCS 34 50 05,조경시설물공통,2024,2024-12-10,3.2.1 토공; 3.2.2 기초; 3.2.5 콘크리트 공사,"[""KCS 34 50 20""]",벤치·퍼걸러 기초. 콘크리트 강도·양생·앵커 상세는 미확정이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2005%3A2024-12-10
PK.30.10.D,휴게시설 기초 / D구역,D_foundation,3eeK9C23XMD84XUyOI3f1f,PK.30.10,CONSTRUCTION,D,"[""D""]",2.0938020104515593,m3,1.5,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,1.3958680069677063,0.1744835008709633,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""D_backfill""]","{""D_backfill"": 0}","[""BENCH01"", ""BENCH02"", ""PERGOLA01""]",[],"[""ZONE_D""]",30,KCS 34 50 05,조경시설물공통,2024,2024-12-10,3.2.1 토공; 3.2.2 기초; 3.2.5 콘크리트 공사,"[""KCS 34 50 20""]",벤치·퍼걸러 기초. 콘크리트 강도·양생·앵커 상세는 미확정이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2005%3A2024-12-10
PK.30.20.A,화강석 경계석 설치 / A구역,A_curb,3joyYSC8HKEPbgAZ4qajEA,PK.30.20,INSTALLATION,A,"[""A""]",62.0,m,16.25,"{""crew_special"": 3, ""crew_general"": 1, ""excavator"": 1}",3.8153846153846156,3.8153846153846156,0.47692307692307695,0,0.15,2026_NORM_CONDITIONAL,"[""토목 1-9-2 보차도 및 도로경계블록 설치 / 인쇄329 / PDF385""]","[{""rate_key"": ""CURB_A"", ""quantity"": 62.0, ""daily_output"": 130, ""hours"": 3.8153846153846156, ""status"": ""CONDITIONAL_SITE""}]",굴착기 0.4㎥ 1대,기존 작업 범위; 세부 내역은 검토서 참조,"[""A_backfill"", ""A_foundation""]","{""A_backfill"": 0, ""A_foundation"": 0}",[],"[""CURB_A""]","[""ZONE_A""]",39,KCS 34 60 25,조경포장경계,2024,2024-12-10,3.1.1 토공 및 기초; 3.1.2 경계블록,"[""KCS 34 60 05"", ""KCS 34 50 05""]",화강석 경계석 선형·높이·기초·줄눈·뒤채움. 기초 콘크리트 물량과 강도 확보 대기는 현재 미확정이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2025%3A2024-12-10
PK.30.20.B,화강석 경계석 설치 / B구역,B_curb,3S9A7ncEzPFhZ7Ppmow_zB,PK.30.20,INSTALLATION,B,"[""B""]",50.0,m,16.25,"{""crew_special"": 3, ""crew_general"": 1, ""excavator"": 1}",3.076923076923077,3.076923076923077,0.38461538461538464,0,0.15,2026_NORM_CONDITIONAL,"[""토목 1-9-2 보차도 및 도로경계블록 설치 / 인쇄329 / PDF385""]","[{""rate_key"": ""CURB_A"", ""quantity"": 50.0, ""daily_output"": 130, ""hours"": 3.076923076923077, ""status"": ""CONDITIONAL_SITE""}]",굴착기 0.4㎥ 1대,기존 작업 범위; 세부 내역은 검토서 참조,"[""B_backfill""]","{""B_backfill"": 0}",[],"[""CURB_B""]","[""ZONE_B""]",39,KCS 34 60 25,조경포장경계,2024,2024-12-10,3.1.1 토공 및 기초; 3.1.2 경계블록,"[""KCS 34 60 05"", ""KCS 34 50 05""]",화강석 경계석 선형·높이·기초·줄눈·뒤채움. 기초 콘크리트 물량과 강도 확보 대기는 현재 미확정이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2025%3A2024-12-10
PK.30.20.C,화강석 경계석 설치 / C구역,C_curb,0$9KHyMNTPFwSkfydDXBB$,PK.30.20,INSTALLATION,C,"[""C""]",70.0,m,16.25,"{""crew_special"": 3, ""crew_general"": 1, ""excavator"": 1}",4.3076923076923075,4.3076923076923075,0.5384615384615384,0,0.1,2026_NORM_CONDITIONAL,"[""토목 1-9-2 보차도 및 도로경계블록 설치 / 인쇄329 / PDF385""]","[{""rate_key"": ""CURB_A"", ""quantity"": 70.0, ""daily_output"": 130, ""hours"": 4.3076923076923075, ""status"": ""CONDITIONAL_SITE""}]",굴착기 0.4㎥ 1대,기존 작업 범위; 세부 내역은 검토서 참조,"[""C_backfill"", ""C_foundation""]","{""C_backfill"": 0, ""C_foundation"": 0}",[],"[""CURB_C""]","[""ZONE_C""]",39,KCS 34 60 25,조경포장경계,2024,2024-12-10,3.1.1 토공 및 기초; 3.1.2 경계블록,"[""KCS 34 60 05"", ""KCS 34 50 05""]",화강석 경계석 선형·높이·기초·줄눈·뒤채움. 기초 콘크리트 물량과 강도 확보 대기는 현재 미확정이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2025%3A2024-12-10
PK.30.20.D,화강석 경계석 설치 / D구역,D_curb,0DGSQDY45Gceiff83hevpq,PK.30.20,INSTALLATION,D,"[""D""]",74.0,m,16.25,"{""crew_special"": 3, ""crew_general"": 1, ""excavator"": 1}",4.553846153846154,4.553846153846154,0.5692307692307692,0,0.1,2026_NORM_CONDITIONAL,"[""토목 1-9-2 보차도 및 도로경계블록 설치 / 인쇄329 / PDF385""]","[{""rate_key"": ""CURB_A"", ""quantity"": 74.0, ""daily_output"": 130, ""hours"": 4.553846153846154, ""status"": ""CONDITIONAL_SITE""}]",굴착기 0.4㎥ 1대,기존 작업 범위; 세부 내역은 검토서 참조,"[""D_backfill"", ""D_foundation""]","{""D_backfill"": 0, ""D_foundation"": 0}",[],"[""CURB_D""]","[""ZONE_D""]",39,KCS 34 60 25,조경포장경계,2024,2024-12-10,3.1.1 토공 및 기초; 3.1.2 경계블록,"[""KCS 34 60 05"", ""KCS 34 50 05""]",화강석 경계석 선형·높이·기초·줄눈·뒤채움. 기초 콘크리트 물량과 강도 확보 대기는 현재 미확정이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2025%3A2024-12-10
PK.40.10.A,쇄석 포장기층 / A구역,A_subbase,0f3W6sURTVEen7o62Sslid,PK.40.10,CONSTRUCTION,A,"[""A""]",80.0,m2,18,"{""crew_paver"": 2, ""crew_special"": 2, ""crew_general"": 1}",,4.444444444444445,0.5555555555555556,0.2,0.15,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,쇄석 기층만. 깔기모래는 finish에 통합; 기층 생산성 18㎡/h는 미검증 가정.,"[""A_curb"", ""A_trees""]","{""A_curb"": 0, ""A_trees"": 0}","[""plaza_A"", ""walkway_A""]",[],"[""ZONE_A""]",40,KCS 34 60 05,조경포장공통,2024,2024-12-10,3.3.3 원지반 정지 및 다짐; 3.3.4 쇄석기층,"[""KCS 34 60 15""]",블록포장 하부의 쇄석기층. 두께·다짐도·계획고를 검측한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2005%3A2024-12-10
PK.40.10.B,쇄석 포장기층 / B구역,B_subbase,0YMNSLFZLNwOb8tVCDs4aE,PK.40.10,CONSTRUCTION,B,"[""B""]",50.0,m2,18,"{""crew_paver"": 2, ""crew_special"": 2, ""crew_general"": 1}",,2.7777777777777777,0.3472222222222222,0.2,0.15,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,쇄석 기층만. 깔기모래는 finish에 통합; 기층 생산성 18㎡/h는 미검증 가정.,"[""B_curb"", ""B_trees""]","{""B_curb"": 0, ""B_trees"": 0}","[""walkway_B""]",[],"[""ZONE_B""]",40,KCS 34 60 05,조경포장공통,2024,2024-12-10,3.3.3 원지반 정지 및 다짐; 3.3.4 쇄석기층,"[""KCS 34 60 15""]",블록포장 하부의 쇄석기층. 두께·다짐도·계획고를 검측한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2005%3A2024-12-10
PK.40.10.C,쇄석 포장기층 / C구역,C_subbase,28ZYQISCHUhR9PyPT7JVT2,PK.40.10,CONSTRUCTION,C,"[""C""]",96.0,m2,18,"{""crew_paver"": 2, ""crew_special"": 2, ""crew_general"": 1}",,5.333333333333333,0.6666666666666666,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,쇄석 기층만. 깔기모래는 finish에 통합; 기층 생산성 18㎡/h는 미검증 가정.,"[""C_curb"", ""C_trees""]","{""C_curb"": 0, ""C_trees"": 0}","[""plaza_C"", ""walkway_C""]",[],"[""ZONE_C""]",40,KCS 34 60 05,조경포장공통,2024,2024-12-10,3.3.3 원지반 정지 및 다짐; 3.3.4 쇄석기층,"[""KCS 34 60 15""]",블록포장 하부의 쇄석기층. 두께·다짐도·계획고를 검측한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2005%3A2024-12-10
PK.40.10.D,쇄석 포장기층 / D구역,D_subbase,3v5$yVh5XHqRQZyLa758Ke,PK.40.10,CONSTRUCTION,D,"[""D""]",132.0,m2,18,"{""crew_paver"": 2, ""crew_special"": 2, ""crew_general"": 1}",,7.333333333333333,0.9166666666666666,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,쇄석 기층만. 깔기모래는 finish에 통합; 기층 생산성 18㎡/h는 미검증 가정.,"[""D_curb"", ""D_trees"", ""D_pergola""]","{""D_curb"": 0, ""D_trees"": 0, ""D_pergola"": 0}","[""plaza_D"", ""walkway_D""]",[],"[""ZONE_D""]",40,KCS 34 60 05,조경포장공통,2024,2024-12-10,3.3.3 원지반 정지 및 다짐; 3.3.4 쇄석기층,"[""KCS 34 60 15""]",블록포장 하부의 쇄석기층. 두께·다짐도·계획고를 검측한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2005%3A2024-12-10
PK.40.20.A,포장 기층 검사 / A구역,A_pavecheck,1tCdFKdqzKCBAYvGGCw_gZ,PK.40.20,INSPECTION,A,"[""A""]",1,ea,2,"{""inspector"": 1}",,0.5,0.0625,0.2,0.03,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""A_subbase""]","{""A_subbase"": 0}","[""plaza_A"", ""walkway_A""]",[],"[""ZONE_A""]",41,KCS 34 60 05,조경포장공통,2024,2024-12-10,3.4 시공허용오차; 3.6 현장품질관리,"[""KCS 34 60 15"", ""KCS 34 10 10""]",포장 기층 검사. 시험·검측을 통과했다는 의미가 아닌 기준 연결이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2005%3A2024-12-10
PK.40.20.B,포장 기층 검사 / B구역,B_pavecheck,0wE8rrGgXG193rmP_zS3MK,PK.40.20,INSPECTION,B,"[""B""]",1,ea,2,"{""inspector"": 1}",,0.5,0.0625,0.2,0.03,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""B_subbase""]","{""B_subbase"": 0}","[""walkway_B""]",[],"[""ZONE_B""]",41,KCS 34 60 05,조경포장공통,2024,2024-12-10,3.4 시공허용오차; 3.6 현장품질관리,"[""KCS 34 60 15"", ""KCS 34 10 10""]",포장 기층 검사. 시험·검측을 통과했다는 의미가 아닌 기준 연결이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2005%3A2024-12-10
PK.40.20.C,포장 기층 검사 / C구역,C_pavecheck,3tcJijSsfR58MsDa6mzsFa,PK.40.20,INSPECTION,C,"[""C""]",1,ea,2,"{""inspector"": 1}",,0.5,0.0625,0.2,0.03,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""C_subbase""]","{""C_subbase"": 0}","[""plaza_C"", ""walkway_C""]",[],"[""ZONE_C""]",41,KCS 34 60 05,조경포장공통,2024,2024-12-10,3.4 시공허용오차; 3.6 현장품질관리,"[""KCS 34 60 15"", ""KCS 34 10 10""]",포장 기층 검사. 시험·검측을 통과했다는 의미가 아닌 기준 연결이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2060%2005%3A2024-12-10
