predecessor_task_id,successor_task_id,predecessor_wbs,successor_wbs,relation,lag_hours
A_trees,A_subbase,PK.50.30.A,PK.40.10.A,FINISH_START,0
B_curb,B_subbase,PK.30.20.B,PK.40.10.B,FINISH_START,0
B_trees,B_subbase,PK.50.30.B,PK.40.10.B,FINISH_START,0
C_curb,C_subbase,PK.30.20.C,PK.40.10.C,FINISH_START,0
C_trees,C_subbase,PK.50.30.C,PK.40.10.C,FINISH_START,0
D_curb,D_subbase,PK.30.20.D,PK.40.10.D,FINISH_START,0
D_trees,D_subbase,PK.50.30.D,PK.40.10.D,FINISH_START,0
D_pergola,D_subbase,PK.60.20.D,PK.40.10.D,FINISH_START,0
A_subbase,A_pavecheck,PK.40.10.A,PK.40.20.A,FINISH_START,0
B_subbase,B_pavecheck,PK.40.10.B,PK.40.20.B,FINISH_START,0
C_subbase,C_pavecheck,PK.40.10.C,PK.40.20.C,FINISH_START,0
D_subbase,D_pavecheck,PK.40.10.D,PK.40.20.D,FINISH_START,0
A_pavecheck,A_finish,PK.40.20.A,PK.40.30.A,FINISH_START,0
B_pavecheck,B_finish,PK.40.20.B,PK.40.30.B,FINISH_START,0
C_pavecheck,C_finish,PK.40.20.C,PK.40.30.C,FINISH_START,0
D_pavecheck,D_finish,PK.40.20.D,PK.40.30.D,FINISH_START,0
A_curb,A_soil,PK.30.20.A,PK.50.20.A,FINISH_START,0
B_curb,B_soil,PK.30.20.B,PK.50.20.B,FINISH_START,0
C_curb,C_soil,PK.30.20.C,PK.50.20.C,FINISH_START,0
D_curb,D_soil,PK.30.20.D,PK.50.20.D,FINISH_START,0
A_soil,A_trees,PK.50.20.A,PK.50.30.A,FINISH_START,0
B_soil,B_trees,PK.50.20.B,PK.50.30.B,FINISH_START,0
C_soil,C_trees,PK.50.20.C,PK.50.30.C,FINISH_START,0
D_soil,D_trees,PK.50.20.D,PK.50.30.D,FINISH_START,0
A_finish,A_shrubs,PK.40.30.A,PK.50.40.A,FINISH_START,0
B_finish,B_shrubs,PK.40.30.B,PK.50.40.B,FINISH_START,0
C_finish,C_shrubs,PK.40.30.C,PK.50.40.C,FINISH_START,0
D_finish,D_shrubs,PK.40.30.D,PK.50.40.D,FINISH_START,0
A_finish,A_turf,PK.40.30.A,PK.50.50.A,FINISH_START,0
B_finish,B_turf,PK.40.30.B,PK.50.50.B,FINISH_START,0
C_finish,C_turf,PK.40.30.C,PK.50.50.C,FINISH_START,0
D_finish,D_turf,PK.40.30.D,PK.50.50.D,FINISH_START,0
A_finish,A_mulch,PK.40.30.A,PK.50.60.A,FINISH_START,0
B_finish,B_mulch,PK.40.30.B,PK.50.60.B,FINISH_START,0
C_finish,C_mulch,PK.40.30.C,PK.50.60.C,FINISH_START,0
D_finish,D_mulch,PK.40.30.D,PK.50.60.D,FINISH_START,0
A_foundation,A_bench,PK.30.10.A,PK.60.10.A,FINISH_START,24.0
A_finish,A_bench,PK.40.30.A,PK.60.10.A,FINISH_START,0.0
C_foundation,C_bench,PK.30.10.C,PK.60.10.C,FINISH_START,24.0
C_finish,C_bench,PK.40.30.C,PK.60.10.C,FINISH_START,0.0
D_foundation,D_bench,PK.30.10.D,PK.60.10.D,FINISH_START,24.0
D_finish,D_bench,PK.40.30.D,PK.60.10.D,FINISH_START,0.0
D_foundation,D_pergola,PK.30.10.D,PK.60.20.D,FINISH_START,24.0
A_shrubs,A_check,PK.50.40.A,PK.70.10.A,FINISH_START,0
A_turf,A_check,PK.50.50.A,PK.70.10.A,FINISH_START,0
A_mulch,A_check,PK.50.60.A,PK.70.10.A,FINISH_START,0
A_bench,A_check,PK.60.10.A,PK.70.10.A,FINISH_START,0
B_shrubs,B_check,PK.50.40.B,PK.70.10.B,FINISH_START,0
B_turf,B_check,PK.50.50.B,PK.70.10.B,FINISH_START,0
B_mulch,B_check,PK.50.60.B,PK.70.10.B,FINISH_START,0
C_shrubs,C_check,PK.50.40.C,PK.70.10.C,FINISH_START,0
C_turf,C_check,PK.50.50.C,PK.70.10.C,FINISH_START,0
C_mulch,C_check,PK.50.60.C,PK.70.10.C,FINISH_START,0
C_bench,C_check,PK.60.10.C,PK.70.10.C,FINISH_START,0
D_shrubs,D_check,PK.50.40.D,PK.70.10.D,FINISH_START,0
D_turf,D_check,PK.50.50.D,PK.70.10.D,FINISH_START,0
D_mulch,D_check,PK.50.60.D,PK.70.10.D,FINISH_START,0
D_bench,D_check,PK.60.10.D,PK.70.10.D,FINISH_START,0
D_pergola,D_check,PK.60.20.D,PK.70.10.D,FINISH_START,0
A_check,RESTORE,PK.70.10.A,PK.70.20.SITE,FINISH_START,0
B_check,RESTORE,PK.70.10.B,PK.70.20.SITE,FINISH_START,0
C_check,RESTORE,PK.70.10.C,PK.70.20.SITE,FINISH_START,0
D_check,RESTORE,PK.70.10.D,PK.70.20.SITE,FINISH_START,0
RESTORE,HANDOVER,PK.70.20.SITE,PK.70.30.SITE,FINISH_START,0
