object_id,ifc_guid,ifc_class,name,specification,primary_wbs
shrub_D,25sRKXEljG6gNF8O0rabTH,IfcGeographicElement,관목 식재지,,PK.50.20.D
green_A,3Rtnkwg4bP8Rx7PpzPFj5M,IfcGeographicElement,수목 하부 멀칭,,PK.50.60.A
green_B,3K6pWDCm1KuRkDLYGXyhSh,IfcGeographicElement,수목 하부 멀칭,,PK.50.60.B
green_C,0xSKiI1HfMM9XaOKMx74R6,IfcGeographicElement,수목 하부 멀칭,,PK.50.60.C
green_D,22geK9FJnQrBvkSa8mSioj,IfcGeographicElement,수목 하부 멀칭,,PK.50.60.D
P2_N01,32o20Yq$fIu8Fbxd4ku08H,IfcGeographicElement,느티나무,H4.0 X R12,PK.50.30.C
P2_N02,32fq$v0WDOxPZsBdaKmGKv,IfcGeographicElement,느티나무,H4.0 X R12,PK.50.30.A
P2_N03,1KzHpDp8TOfg3ND1kZypKE,IfcGeographicElement,느티나무,H4.0 X R12,PK.50.30.B
P2_I01,02y87a1DbR9Q4AvdxI7PYf,IfcGeographicElement,이팝나무,H4.0 X R15,PK.50.30.C
P2_I02,2wA21KkBrHfA02Gl2eiITH,IfcGeographicElement,이팝나무,H4.0 X R15,PK.50.30.D
P2_I03,3Ebh5eESjRseZM_OJbax7z,IfcGeographicElement,이팝나무,H4.0 X R15,PK.50.30.D
P2_I04,3VXnKSS4HHDg0dcHjSWwyv,IfcGeographicElement,이팝나무,H4.0 X R15,PK.50.30.A
P2_I05,3QMDNvBXzIjQKTQOQ$O8i$,IfcGeographicElement,이팝나무,H4.0 X R15,PK.50.30.B
P2_I06,00Qd1HSYfKH8QiDyHu9eeZ,IfcGeographicElement,이팝나무,H4.0 X R15,PK.50.30.D
P2_I07,3gv7DXWyvUxOSt8FJ_jBfG,IfcGeographicElement,이팝나무,H4.0 X R15,PK.50.30.A
P2_D01,0ZenG1k7vSWeZohT8fL$kw,IfcGeographicElement,산딸나무,H3.0 X R8,PK.50.30.B
P2_D02,02lVwwMzvLIBNFnth4sQVM,IfcGeographicElement,산딸나무,H3.0 X R8,PK.50.30.A
P2_D03,0GtydUzubMWxeS8$uNA2RA,IfcGeographicElement,산딸나무,H3.0 X R8,PK.50.30.D
P2_T01,2gSA55vanH8ODXPrevY6hS,IfcGeographicElement,주목,H3.0 X W1.5,PK.50.30.B
P2_T02,1r03ubKVPIAPU_R$4tVrbd,IfcGeographicElement,주목,H3.0 X W1.5,PK.50.30.B
P2_T03,1qbKJG7tzOvwuITtIff3ER,IfcGeographicElement,주목,H3.0 X W1.5,PK.50.30.B
P2_B01-001,1NYMvE5ILU8gm3vg1UN72i,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-002,2LwZ4BzNLO0uQXO2SvekPT,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-003,3WCKa4RnfVFfXRKywJupFW,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-004,2WiDxLF75RYf7RQD27Q_as,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-005,1xs6ajYEXPFeIg1_R5aygJ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-006,340wse$TTH9AA9DZxMuI98,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-007,3mrjTI8CPMGxBGH_NLbL0F,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-008,2QLpM_5mfVJQC6Ep6qgwCJ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-009,0VWPR_oJXJqBlm5lZM$l$r,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-010,1j2eaynWnTChuPM5RnTK$J,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-011,3VZy8Q56HVUBT9v6iTwVAj,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-012,0zCWKuk4bSrQT_gUll3iSr,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-013,1Qu9Y4VPvI8QSVeQDFsgcW,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-014,1BCiDsgbHVJeeGjnV4c8tP,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-015,0E7lEDYSbNrALcsBqA4E4Q,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-016,0nj58s_i1VCOsmu5EFP1GQ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-017,2sAv2f0y9SNQRX0STlhr$g,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-018,3NYLaHKibRuhozMjiyNc58,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-019,0VHIruTYTTTxcKg5YohOje,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-020,1mUY36l6HO_A0BN7rbpJ_W,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-021,2i38I4xgLMzBZMhqsSI5Ud,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-022,2AFZAlqPTSKBbsoubLeaj5,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-023,3mXTX8Q6HLLfasVSVQm1Kk,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-024,1HYU0LPCvI$vrqgpBtC7d_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-025,3bJQJiDiDM7QmRG1qt5QLd,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-026,3ImQMWszbPDOUTISM$$NMl,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-027,0KWlfDxTfQohaUOQcnc73$,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-028,28dm_xvPPOzAlk35iXVLnL,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-029,38QFzX11nJRAZYpAxZki0q,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-030,1psr1n6AXTiepbYNL3e05d,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-031,00HqyoMsLO0gSOtdVEIt8J,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-032,1qwa6N2e5R8fBY_bCZt5MK,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-033,1DpgIZilbP7804Y1KC9tlw,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-034,3Ojce$eBTM98jRog6caZa_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-035,0W3nzHvNzVMxUfOTv3jcUl,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-036,1iqKe5o$fVUP3gLrtpa5I5,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-037,1_gmCT1IzGJRTxf7rG3$m8,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-038,0960wVj6fL8fYtFZnmzpHF,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-039,3nfutFqbPGFweYz3W7udJH,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-040,2BoJNLrmjKg9oJW4gL1lRA,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-041,10Jm2hIXTGWuB3qbvsGNGk,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-042,0$3AhVBZHUewoEhD$NPcAL,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-043,0DI6heqBrGh9_oLpNkOARz,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-044,2iDAeYw8fHtPPd42iwXBeY,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-045,1KRxNkiAnMKxaWzZZI5ZzT,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-046,0Kzx8xtGzLruAOt4ybAhIS,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-047,0J494PjOXS1gRM5AbExuVA,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-048,2cDDBk8$jVQO48UKV6WzuL,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-049,04g2Xc0AfLTAj0qAXnSX4J,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-050,3rO35tUG9PKATzQZubieoZ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-051,3xV4f1MX1Lxw0gtDzWgBva,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-052,2sBN4BQXTSshFOjFM6ERAs,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-053,1ajY79SRvGSh5cvvoEhz3S,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-054,3fgYBR$Q9Ngx9QHat3nhpK,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-055,23Sbx_2_zUifsTqcHL$L89,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-056,395XnGulLH89_eigmczpMo,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-057,1R0dyVnPrVABvo25tbiYEB,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-058,0$LpI2kc1J8gxZG5bLB5fb,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-059,3YnjIpIPDRbhsJ7Ji6IWaj,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-060,1lFrzKO2bTI8HXaa4SRk2T,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-061,3nU29njE1MaxmEh$sOI3BP,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-062,0EOkSRN0rQWuCS16vz7zfI,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-063,2m52Od0gzVJevfHNKjqRpj,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-064,0XvCGVF51JLhcIvRx0BCUA,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-065,2TYYhIYV9TNxG3AlZCmvf8,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-066,0TOtWmCkzPyv9Cz4f0e$Lg,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-067,3mGKWp07DO6wOgJxWl8mMm,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-068,3RmEdSacvNGhmTNagDcbXm,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-069,3Y8ZM8XrnLlvaGTHLoifh9,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-070,1hku96nQLH784r$ccuajly,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-071,15oI82TfHItQn6tvOsGP6R,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-072,33PyTiASXPnefZrjcqzYDF,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-073,0$3QLzKsXQ6gGCLfRhLRxh,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-074,1E5IZPZjjSFOZNCMD$9kIF,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-075,3Y5WSVZzjGD9uctUBH6tRc,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-076,15IQz0rijRmANeCkhQXxK9,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-077,33LHln0ZLRu9fwJkYIoL5M,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-078,0vd57zx7XKOxwfQgFFTmZ_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-079,1I7V25gcLQugQN8VMmyr54,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-080,1yM8g6kBrR0B4eyCb27xky,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_B01-081,1DyxVnh3vIyAJGdNUEvc$j,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.C
P2_Y01-001,0M0iH79kLHGxJ5LaEtPSdE,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-002,26dTlXDoLUpvUY0_NJbnPa,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-003,1_QMF7AjTLwxAa6M2esmin,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-004,27ol26vjjI98uAomxzmXhe,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-005,0H62th8YfSwBrmUMmKkUdI,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-006,2sx4PJPELNI9FFyTorSMcU,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-007,2juDyzDpLKqwUvwlIWmBbp,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-008,1Spe8uX2fO5eB_i34LUJN4,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-009,1WV8L4uPTGnBLBHCXujZks,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-010,3rkGdSLtzGs8BTWe9iym6$,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-011,0fD$KA1qjItOrT87CcHsIo,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-012,1qlySKqdTL$wS_umVyqlts,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-013,0SULF2RtHGmAbm4oVaNZX1,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-014,1v4XrGxeDKQxXz8e4BXrjo,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-015,1FM45rqUnI7QVLxZp9XuTX,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-016,1WAb7piRzK5PWv8Vq19fox,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-017,0W2V_mPknGlw2xVLh09_Pu,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-018,2eF$vPKYbVSheIYqySNQuX,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-019,0UtrvUQr5NrQpWCni3uynJ,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-020,3Bynax09zRPv0s2q6dEyVb,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-021,3HcPo0izXVcRSmIHIJA75C,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-022,2ajIYGPATPvfScuQMYAhsP,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-023,1VzQIwjKrSO8$WqG7prtgh,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-024,2EcvYWzO9TzAGtsLrJF2ei,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-025,2dZQTskgXQmOYCHl$9mxNb,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-026,0dclXMfkjMLQyAAU4k2dK1,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-027,3XDphuOCfRHOL6tN$kqRjN,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y01-028,0VrfpolUXK1hwTeI6KThaf,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_B02-001,19UnKf3ZTMQfBwHarOCGAY,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-002,1KVBzha2fTWx36YZlxFruC,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-003,1EK_2fDcfO_xt2TpAHPtWW,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-004,26Hr2WtizQhOz5LWnyNFVE,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-005,3H0A2HlqXTJRH8_XL5Ozu5,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-006,1AouH4RYvJvQ_hvuDBdGBW,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-007,0moY_eYEfKGgdIiWoO0O1N,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-008,0rDyWfuvHNRw1l$qGsbx4G,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-009,3756lQSr5NYurbLUZNgGb9,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-010,1qaZEMQ5jInwicnhrMFZhb,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-011,0miIjqtkTPJhDUU6saWJPN,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-012,2T8B915TXIigfNz$wxZetq,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-013,19uBlnQgvMg8Gn_anAYAQ4,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-014,2AxRulHYPH$xp15rZ$dbtj,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-015,0osYJtEs5Sbgod4deKoahE,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-016,2IAkCIY$DUSxNvkQRbEImD,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-017,2CCjCsUd5IhvFwiUJt2ajj,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-018,3MSPqxHKPPoeuMNt2rxo1M,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-019,3MWXbq4V5GuwUE0nASlF8n,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-020,3ntOA1hurTSgeIwv2XPgYb,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-021,3QRKInOOHMdO6axKABKzpV,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-022,0i8jfoPVnVfv66xj_BVgw_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-023,1nQZ7ZgV1HDAtptTHMz60i,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-024,0M_STCtu1HHhnwkyyP81xh,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-025,1oSsFcVCvNyOLUUbWRbZgn,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-026,1lnpOFZEvUW8xp0ueciVA_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-027,0ZQjG$VzTSYR0vPnJIPxHJ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-028,1wFQwB9uTKHOb_VjXq8KhC,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-029,0Q01wiuVTKdvE$bhYvVQHE,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-030,0wF4F$v7DNBOzCik2mhtXC,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-031,1ng29UucXRYfR6dKQy201V,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-032,1BLI$XFK5KZPMkmZXIYPWh,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-033,3BwmWztm9IoxgYBoH861xH,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-034,2wl8HyhinORAerNegojv67,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-035,32jPPUosTGIOk4jC$7PxnR,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-036,1U8eZd8Y9IoAafZ8E32OmH,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-037,10k7kijNjNhQtof38cIO7b,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-038,2LEc2EUifTbQJtY3iEOYWj,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-039,32f4sEM6zPUuCn6CyfslJs,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-040,3C0G2i60HUZ8WzJOc7EyWX,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-041,0yW2_Hu7jPOhzN47Q1xuvd,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-042,3hpkMCZnXGdQngESO4hMqB,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-043,0GnLJ2yh1QtuE9sA7rNiMa,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-044,1KdWwm8HrJAv15wyil3PL_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-045,1NM5x5TorRwuWXy_lG0PPJ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-046,3tYcq0cT9Jme$piD2xXBq2,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-047,3w5BTXVgnLSxbuLB7c1Y3g,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-048,0kPZnZvSfNkxeXAe$cgrUB,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-049,0P6O9mAc1RpgqrbCoKwF3Z,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-050,1vINH5uGTHTwu$flpzLoJU,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-051,3TTHamwC1LO8H7ypRj5Xk2,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-052,0jtu5AXVPOsRx5WFqShNd8,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-053,2jzq6vuiXNYA4R1lh1PzIy,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-054,2s1G$Wr4rNg8o$xNJy_u00,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-055,0ta8lLS65LAxCNHCt4vsjx,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-056,0Xs7yqxJPL19Bb4D497jGj,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-057,1aNixMQATOXg85829s8m4t,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-058,398nWdesTVEhQOokSd69OG,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-059,2lfN3RvZDMPQlF9DD35mzt,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-060,08jbWsA6DIV8HyLVslMvU5,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-061,3143Q3woPSLPKGH9LLy36U,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-062,10CRIVYRLJvApE4WsWYIQk,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-063,0gLcHazYHSeucFRzvIJ8I5,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-064,36BAcmQtLSTPHXoYAWTU6Q,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-065,1KiPGm0QHIEx_74Sv2lbWq,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-066,1NOWCLlVfGR8IHzI37hTen,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-067,1baS$714rJP9QjGHaBA5sZ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-068,225WXkW0vJXudtqx51yGFS,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-069,3KJfhQ9K1Skw1MzY2KgETp,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-070,1FUa76mq1IYO31CSBrZdbc,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
